campaign_id,campaign_name,campaign_type,platform,objective,content_category_focus,start_date,end_date,spend,impressions,clicks,conversions,revenue,roi,roas,source_type
ORG-INSTAGRAM,Organic / Always On,Organic,Instagram,Organic Content,Mixed,2024-01-01,2025-12-31,0.00,22583318,308137,9106,0.00,0.000000,0.000000,Kaggle posts + modeled campaign economics
CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Instagram,Awareness,Education,2024-01-10,2024-02-28,8892.23,874224,11127,334,13712.69,0.542098,1.542098,Kaggle posts + modeled campaign economics
CMP-2024-INSTAGRAM-02,2024 Spring Product Launch,Paid,Instagram,Product Launch,Technology,2024-03-05,2024-04-30,9378.42,904948,12468,383,21504.78,1.293007,2.293007,Kaggle posts + modeled campaign economics
CMP-2024-INSTAGRAM-03,2024 Summer Creator Push,Paid,Instagram,Engagement,Entertainment,2024-06-01,2024-07-31,7769.02,1052570,13971,421,11029.31,0.419653,1.419653,Kaggle posts + modeled campaign economics
CMP-2024-INSTAGRAM-04,2024 Back to School Offer,Paid,Instagram,Conversion,Business,2024-08-10,2024-09-25,4538.16,556761,8078,226,12016.12,1.647796,2.647796,Kaggle posts + modeled campaign economics
CMP-2024-INSTAGRAM-05,2024 Holiday Revenue Campaign,Paid,Instagram,Revenue,Fashion,2024-11-01,2024-12-20,13546.07,1414201,19205,605,41788.09,2.084887,3.084887,Kaggle posts + modeled campaign economics
CMP-2025-INSTAGRAM-06,2025 Q1 Awareness Sprint,Paid,Instagram,Awareness,Education,2025-01-10,2025-02-28,5885.83,798063,10928,328,10493.22,0.782794,1.782794,Kaggle posts + modeled campaign economics
CMP-2025-INSTAGRAM-07,2025 Spring Product Launch,Paid,Instagram,Product Launch,Technology,2025-03-05,2025-04-30,11266.68,1106164,15466,484,29618.14,1.628826,2.628826,Kaggle posts + modeled campaign economics
CMP-2025-INSTAGRAM-08,2025 Summer Creator Push,Paid,Instagram,Engagement,Entertainment,2025-06-01,2025-07-31,7477.11,964196,12821,378,17562.81,1.348877,2.348877,Kaggle posts + modeled campaign economics
CMP-2025-INSTAGRAM-09,2025 Back to School Offer,Paid,Instagram,Conversion,Business,2025-08-10,2025-09-25,5326.88,668086,8892,259,17439.83,2.273930,3.273930,Kaggle posts + modeled campaign economics
CMP-2025-INSTAGRAM-10,2025 Holiday Revenue Campaign,Paid,Instagram,Revenue,Fashion,2025-11-01,2025-12-20,8401.97,1022298,13820,431,28723.63,2.418678,3.418678,Kaggle posts + modeled campaign economics
