post_id,source_dataset,original_post_id,platform,post_datetime,post_date,post_hour,weekday_name,posting_time_bucket,campaign_id,campaign_name,campaign_type,content_type,content_category,sentiment,influencer_tier,hashtag_count,content_length,has_media,is_verified,impressions,reach,likes,comments,shares,saves,clicks,engagement_rate,ctr
KG-POST_04552,aviral342/social-media-engagement-dataset,POST_04552,Instagram,2024-01-01 01:42:00,2024-01-01,1,Monday,Late Night,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Business,Positive,Macro,16,985,TRUE,FALSE,29502,26812,8287,247,51,20,362,0.291675,0.012270
KG-POST_02171,aviral342/social-media-engagement-dataset,POST_02171,LinkedIn,2024-01-01 05:05:00,2024-01-01,5,Monday,Morning,ORG-LINKEDIN,Organic / Always On,Organic,Document,Health,Negative,Macro,9,627,FALSE,TRUE,24538,20638,1711,27,247,139,434,0.086560,0.017687
KG-POST_00210,aviral342/social-media-engagement-dataset,POST_00210,Instagram,2024-01-01 09:18:00,2024-01-01,9,Monday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Food,Positive,Macro,27,79,TRUE,TRUE,5460,3995,1527,191,7,359,68,0.381685,0.012454
KG-POST_01350,aviral342/social-media-engagement-dataset,POST_01350,Instagram,2024-01-01 13:12:00,2024-01-01,13,Monday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Photo,Fitness,Positive,Mid-tier,5,1136,TRUE,FALSE,25782,15573,9706,35,118,611,323,0.406097,0.012528
KG-POST_01582,aviral342/social-media-engagement-dataset,POST_01582,X/Twitter,2024-01-02 01:24:00,2024-01-02,1,Tuesday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Sports,Negative,Macro,19,1611,TRUE,FALSE,59434,53645,3767,83,522,242,727,0.077632,0.012232
KG-POST_02656,aviral342/social-media-engagement-dataset,POST_02656,X/Twitter,2024-01-02 03:01:00,2024-01-02,3,Tuesday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Lifestyle,Negative,Macro,25,1406,TRUE,FALSE,45929,35949,1558,71,676,92,529,0.052189,0.011518
KG-POST_00196,aviral342/social-media-engagement-dataset,POST_00196,X/Twitter,2024-01-02 16:59:00,2024-01-02,16,Tuesday,Afternoon,ORG-X_TWITTER,Organic / Always On,Organic,Thread,Education,Negative,Micro,1,399,TRUE,FALSE,68904,56939,599,222,787,314,1107,0.027894,0.016066
KG-POST_00749,aviral342/social-media-engagement-dataset,POST_00749,YouTube,2024-01-02 19:22:00,2024-01-02,19,Tuesday,Evening,ORG-YOUTUBE,Organic / Always On,Organic,Live,Food,Neutral,Macro,22,109,FALSE,FALSE,947740,767920,6062,754,540,1640,18273,0.009492,0.019281
KG-POST_03049,aviral342/social-media-engagement-dataset,POST_03049,X/Twitter,2024-01-02 20:04:00,2024-01-02,20,Tuesday,Evening,ORG-X_TWITTER,Organic / Always On,Organic,Thread,Travel,Neutral,Macro,22,1445,TRUE,TRUE,67556,45448,597,22,339,74,737,0.015276,0.010909
KG-POST_04605,aviral342/social-media-engagement-dataset,POST_04605,TikTok,2024-01-02 20:22:00,2024-01-02,20,Tuesday,Evening,ORG-TIKTOK,Organic / Always On,Organic,Video,Travel,Negative,Macro,5,369,FALSE,FALSE,8088,6237,18977,966,2147,2235,52,3.007542,0.006429
KG-POST_02119,aviral342/social-media-engagement-dataset,POST_02119,Instagram,2024-01-02 21:41:00,2024-01-02,21,Tuesday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Entertainment,Positive,Mid-tier,11,1458,TRUE,TRUE,30977,22491,1874,467,16,688,513,0.098299,0.016561
KG-POST_00401,aviral342/social-media-engagement-dataset,POST_00401,Instagram,2024-01-02 21:55:00,2024-01-02,21,Tuesday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Photo,Business,Negative,Macro,6,1262,TRUE,FALSE,44911,28646,1867,125,281,286,621,0.056979,0.013827
KG-POST_01803,aviral342/social-media-engagement-dataset,POST_01803,X/Twitter,2024-01-03 00:42:00,2024-01-03,0,Wednesday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Sports,Neutral,Macro,7,1597,TRUE,FALSE,28491,25351,4926,205,1317,466,316,0.242673,0.011091
KG-POST_03737,aviral342/social-media-engagement-dataset,POST_03737,LinkedIn,2024-01-03 03:35:00,2024-01-03,3,Wednesday,Late Night,ORG-LINKEDIN,Organic / Always On,Organic,Poll,Lifestyle,Neutral,Macro,13,1506,FALSE,FALSE,6603,5250,1383,123,32,59,145,0.241860,0.021960
