date,platform,followers,new_followers,lost_followers,net_growth,follower_growth_rate,source_type
2024-01-01,Instagram,219593,580,94,486,0.002218,Modeled from Kaggle follower count and post engagement
2024-01-02,Instagram,219798,311,106,205,0.000934,Modeled from Kaggle follower count and post engagement
2024-01-03,Instagram,220176,476,98,378,0.001720,Modeled from Kaggle follower count and post engagement
2024-01-04,Instagram,220466,389,99,290,0.001317,Modeled from Kaggle follower count and post engagement
2024-01-05,Instagram,220856,491,101,390,0.001769,Modeled from Kaggle follower count and post engagement
2024-01-06,Instagram,221201,445,100,345,0.001562,Modeled from Kaggle follower count and post engagement
2024-01-07,Instagram,221595,493,99,394,0.001781,Modeled from Kaggle follower count and post engagement
2024-01-08,Instagram,222032,541,104,437,0.001972,Modeled from Kaggle follower count and post engagement
2024-01-09,Instagram,222298,377,111,266,0.001198,Modeled from Kaggle follower count and post engagement
2024-01-10,Instagram,222715,523,106,417,0.001876,Modeled from Kaggle follower count and post engagement
2024-01-11,Instagram,222973,361,103,258,0.001158,Modeled from Kaggle follower count and post engagement
2024-01-12,Instagram,223403,533,103,430,0.001928,Modeled from Kaggle follower count and post engagement
2024-01-13,Instagram,223737,430,96,334,0.001495,Modeled from Kaggle follower count and post engagement
2024-01-14,Instagram,223892,256,101,155,0.000693,Modeled from Kaggle follower count and post engagement
2024-01-15,Instagram,224039,245,98,147,0.000657,Modeled from Kaggle follower count and post engagement
2024-01-16,Instagram,224245,306,100,206,0.000919,Modeled from Kaggle follower count and post engagement
2024-01-17,Instagram,224461,315,99,216,0.000963,Modeled from Kaggle follower count and post engagement
2024-01-18,Instagram,224554,196,103,93,0.000414,Modeled from Kaggle follower count and post engagement
2024-01-19,Instagram,224961,507,100,407,0.001812,Modeled from Kaggle follower count and post engagement
2024-01-20,Instagram,225181,323,103,220,0.000978,Modeled from Kaggle follower count and post engagement
2024-01-21,Instagram,225541,461,101,360,0.001599,Modeled from Kaggle follower count and post engagement
2024-01-22,Instagram,225971,526,96,430,0.001907,Modeled from Kaggle follower count and post engagement
2024-01-23,Instagram,226188,325,108,217,0.000960,Modeled from Kaggle follower count and post engagement
2024-01-24,Instagram,226375,287,100,187,0.000827,Modeled from Kaggle follower count and post engagement
2024-01-25,Instagram,226730,465,110,355,0.001568,Modeled from Kaggle follower count and post engagement
2024-01-26,Instagram,226993,364,101,263,0.001160,Modeled from Kaggle follower count and post engagement
2024-01-27,Instagram,227366,468,95,373,0.001643,Modeled from Kaggle follower count and post engagement
2024-01-28,Instagram,227779,517,104,413,0.001816,Modeled from Kaggle follower count and post engagement
2024-01-29,Instagram,228107,430,102,328,0.001440,Modeled from Kaggle follower count and post engagement
2024-01-30,Instagram,228654,644,97,547,0.002398,Modeled from Kaggle follower count and post engagement
